FacilityType,FacilityId,Anchor,FoundationType,eqBldgType,DesignLevel,SoilType,LqfSusCat,LndSusCat,WaterDepth,Distance,PGA,PGV,Sa03,Sa10,LqfSettlPGD,LqfSprPGD,LqfProb,LndPGD,LndProb,SufFltRuptPGD,SurfFltRuptProb,PDsNone,PDsSlight,PDsModerate,PDsExtensive,PDsComplete,PDsExceedSlight,PDsExceedModerate,PDsExceedExtensive,FunctDay1,FunctDay3,FunctDay7,FunctDay14,FunctDay30,FunctDay90,EconLoss,Name,City,State,geometry
ElectricPowerFlty,CA000879,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.2675885558128357,11.3576021194458,0.6570038199424744,0.31031322479248047,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0245,0.1576,0.6342,0.1038,0.0797,0.9754,0.8178,0.1836,34.9,47.7,73.3,85.5,89.3,98.3,5100860.5,NOVE POWER PLANT,RICHMOND,CA,POINT (-122.382 37.9676)
ElectricPowerFlty,CA000887,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.2675885558128357,11.3576021194458,0.6570038199424744,0.31031322479248047,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0245,0.1576,0.6342,0.1038,0.0797,0.9754,0.8178,0.1836,34.9,47.7,73.3,85.5,89.3,98.3,11037778.0,MARIN CLEAN ENERGY SOLAR ONE,RICHMOND,CA,POINT (-122.377202 37.945296)
ElectricPowerFlty,CA000975,FALSE,null,DFLT,LC,D,0,0,5.0,null,0.2561769485473633,8.608607292175293,0.5629810690879822,0.21416859328746796,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.0299,0.1761,0.6325,0.0927,0.0686,0.97,0.7939,0.1613,37.0,49.8,75.3,87.2,90.6,98.5,6158692.5,AMERESCO KELLER CANYON,BAY POINT,CA,POINT (-121.934491 38.003928)
HighwayBridge,CA000019,null,null,null,null,D,0,0,5.0,null,0.2115025371313095,8.528155326843262,0.5292953252792358,0.24595637619495392,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9753,0.0149,0.0055,0.0034,0.0006,0.0246,0.0097,0.0041,98.8,99.3,99.5,99.5,99.6,99.7,832.0563354492188,'Delta-Mendota Canal',null,null,POINT (-121.5785 37.8124)
HighwayBridge,CA000076,null,null,null,null,D,0,0,5.0,null,0.30044370889663696,10.422507286071777,0.6744294166564941,0.26809030771255493,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9649,0.0208,0.0078,0.0052,0.001,0.035,0.0141,0.0062,98.2,99.0,99.3,99.3,99.4,99.6,1017.828125,'Galinda Creek',null,null,POINT (-122.022 37.965069)
HighwayBridge,CA005339,null,null,null,null,D,0,0,5.0,null,0.283579558134079,10.185131072998047,0.6457984447479248,0.2739821970462799,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.7358,0.106,0.099,0.0352,0.0237,0.2641,0.158,0.0589,84.5,90.0,93.8,94.3,94.6,96.5,4201046.0,'CARQUINEZ STRAIT UP RR',null,null,POINT (-122.224908 38.054722)
HighwayBridge,CA006853,null,null,null,null,D,0,0,5.0,null,0.21277272701263428,8.365218162536621,0.5231019258499146,0.23649340867996216,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.987,0.0,0.0077,0.0041,0.001,0.0129,0.0129,0.0052,98.9,99.1,99.4,99.5,99.5,99.7,510128.375,'SAN JOAQUIN RIVR ANTIOCH',null,null,POINT (-121.751478 38.0168)
HighwayBridge,CA006854,null,null,null,null,D,0,0,5.0,null,0.21277272701263428,8.365218162536621,0.5231019258499146,0.23649340867996216,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9396,0.0474,0.0077,0.0041,0.001,0.0603,0.0129,0.0052,97.7,99.1,99.4,99.5,99.5,99.7,14216.5361328125,'BNSF RY  UP RR  & AMTRAK',null,null,POINT (-121.752933 38.009083)
HighwayBridge,CA006855,null,null,null,null,D,0,0,5.0,null,0.21277272701263428,8.365218162536621,0.5231019258499146,0.23649340867996216,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9396,0.0474,0.0077,0.0041,0.001,0.0603,0.0129,0.0052,97.7,99.1,99.4,99.5,99.5,99.7,13354.927734375,'BNSF RY  UP RR  & AMTRAK',null,null,POINT (-121.752617 38.009033)
HighwayBridge,CA006856,null,null,null,null,D,0,0,5.0,null,0.21277272701263428,8.365218162536621,0.5231019258499146,0.23649340867996216,0.0,0.0,0.0,0.0,0.0,29.523393630981445,0.5,0.9788,0.0127,0.0048,0.0029,0.0005,0.0211,0.0084,0.0035,98.9,99.4,99.6,99.6,99.6,99.8,5471.99462890625,'WILBUR AVENUE',null,null,POINT (-121.752239 38.012075)
